country-code,land-area,population,households-national,bc-gt-2mbps-national,bc-gt-30mbps-national,bc-gt-100mbps-national,overall-bc-national,overall-fixed-bc-national,overall-nga-coverage-national,dsl-national,vdsl-national,fttp-national,wimax-national,cable-national,docsis-national,hspa-national,lte-national,satellite-national,households-rural,overall-bc-rural,overall-fixed-bc-rural,overall-nga-coverage-rural,dsl-rural,vdsl-rural,fttp-rural,wimax-rural,cable-rural,docsis-rural,hspa-rural,lte-rural,satellite-rural
MT,316 ,"429,344 ","163,641 ",99.8%,99.4%,99.4%,100.0%,100.0%,100.0%,100.0%,72.0%,16.0%,0.0%,99.9%,99.9%,99.9%,99.5%,100.0%,"1,673 ",100.0%,100.0%,99.9%,100.0%,0.0%,0.0%,0.0%,99.9%,99.9%,99.2%,51.1%,100.0%
NL,"41,541 ","16,900,726 ","7,581,039 ",100.0%,98.2%,98.2%,100.0%,100.0%,98.3%,100.0%,69.9%,31.2%,0.0%,95.1%,95.1%,99.6%,99.6%,100.0%,"620,215 ",100.0%,100.0%,97.9%,99.9%,64.9%,28.4%,0.0%,92.5%,92.5%,98.2%,98.2%,100.0%
LU,"2,586 ","562,958 ","228,926 ",100.0%,94.1%,89.7%,100.0%,100.0%,94.4%,100.0%,88.2%,51.5%,0.0%,78.6%,74.3%,98.9%,98.1%,100.0%,"26,326 ",99.9%,99.9%,94.1%,99.7%,88.2%,51.5%,0.0%,46.3%,0.0%,99.2%,91.3%,100.0%
CH,"41,183 ","8,233,842 ","3,657,506 ",99.8%,98.9%,98.5%,100.0%,99.8%,99.0%,99.5%,88.0%,28.6%,0.0%,84.3%,84.3%,99.5%,98.3%,100.0%,"465,143 ",99.8%,99.0%,92.9%,97.4%,55.5%,7.3%,0.0%,78.2%,78.2%,98.7%,93.8%,100.0%
BE,"30,530 ","11,258,434 ","4,873,781 ",99.8%,98.2%,96.5%,100.0%,99.9%,98.9%,99.9%,92.5%,0.6%,14.8%,96.4%,96.4%,100.0%,99.9%,100.0%,"201,559 ",99.79%,98.5%,88.3%,96.9%,73.4%,0.0%,2.6%,70.9%,70.9%,99.4%,98.6%,100.0%
IS,"103,000 ","329,100 ","129,363 ",99.3%,91.7%,75.2%,99.8%,98.5%,95.7%,97.0%,90.2%,62.8%,4.0%,0.0%,0.0%,99.5%,95.9%,0.0%,"45,684 ",99.6%,95.8%,87.7%,94.3%,83.9%,24.0%,0.0%,0.0%,0.0%,99.2%,88.7%,0.0%
GB,"248,514 ","64,641,461 ","28,104,983 ",95.1%,84.4%,23.6%,100.0%,100.0%,92.3%,100.0%,85.0%,1.8%,0.0%,47.8%,47.8%,99.0%,99.5%,100.0%,"2,449,311 ",99.9%,99.8%,78.2%,99.7%,76.0%,2.5%,0.0%,2.3%,2.3%,88.8%,95.3%,100.0%
LV,"64,562 ","1,986,096 ","763,883 ",92.6%,90.4%,86.8%,100.0%,92.6%,91.1%,42.7%,17.6%,85.2%,44.8%,34.7%,29.0%,100.0%,93.0%,20.3%,"214,178 ",100.0%,83.3%,77.0%,28.0%,17.7%,69.3%,24.7%,0.0%,0.0%,100.0%,85.6%,20.3%
PT,"92,212 ","10,472,159 ","4,081,392 ",98.8%,93.8%,89.5%,99.9%,99.8%,95.0%,99.2%,0.0%,86.1%,0.0%,79.1%,79.1%,98.8%,98.8%,100.0%,"614,447 ",99.1%,98.4%,73.5%,94.7%,0.0%,46.9%,0.0%,42.1%,42.1%,91.8%,92.0%,100.0%
CY,"9,251 ","847,008 ","302,503 ",100.0%,84.3%,84.3%,100.0%,100.0%,87.5%,100.0%,75.0%,51.2%,0.0%,68.7%,68.7%,99.0%,74.3%,100.0%,"35,064 ",100.0%,100.0%,60.0%,100.0%,60.0%,0.0%,0.0%,0.0%,0.0%,99.0%,0.0%,100.0%
