country,nga-coverage,telekom-users,telekom-users-m,households,households-rel,3g-lte-coverage,nga-coverage-rural,3g-lte-coverage-rural,3g-coverage,lte-coverage,3g-coverage-rural,lte-coverage-rural
AT,89.2,,,3855150,,99.0461484827,41.4685906528,93.0232269177,99.1018456826,98.9904512828,93.4306139356,92.6158398998
BE,98.9,3.6,3600000,4873781,1.3538280556,99.9532953105,88.2653603603,99.0134249071,99.9711256025,99.9354650184,99.4411745737,98.5856752406
BG,74.1,,,2971692,,88.2643459213,17.3203464712,59.352841077,100,76.5286918427,100,18.7056821539
CH,99,3.1,3100000,3657506,1.1798406452,98.9175,92.8555934997,96.2323206888,99.5,98.335,98.6955588478,93.7690825297
CY,87.5,,,302503,,86.625,60,49.5,99,74.25,99,0
CZ,75.1,1.5,1500000,4390949,2.9272993333,98.2208950438,51.9019605562,90.3696605937,97.0369668505,99.4048232372,84.9100079174,95.82931327
DE,81.8,15.1,15100000,40237974,2.6647664901,94.35,48.9,74.7,92.1,96.6,61.6,87.8
DK,93.3,1.8,1800000,2712346,1.5068588889,100,59.31,100,100,100,100,100
EE,79.1,,,608575,,98.769304559,36.0412058597,97.0053364091,98.769304559,98.769304559,97.9894349812,96.021237837
ES,80.8,7.8,7800000,18051894,2.3143453846,97.0681670772,27.7464520513,86.0078088294,99.717362141,94.4189720135,98.7347581235,73.2808595352
FI,74.6,,,2616957,,99.9978983224,8.2426386756,99.9887702842,99.9976308361,99.9981658086,99.9873410477,99.9901995208
FR,47,4.8,4800000,30087534,6.26823625,96.8337932645,30.9117736114,80.3774058326,99.8510406256,93.8165459033,99.0481650595,61.7066466058
GB,92.3,12.9,12900000,28104983,2.1786808527,99.250927342,78.167937441,92.0540801091,99.0018546839,99.5,88.8299601047,95.2782001134
GR,44.2,,,4370643,,96.3965367687,1.3055301096,83.7501268408,99.3185326852,93.4745408523,96.6220471405,70.8782065411
HR,59.9,,,1514698,,94.650253201,10.1026590158,76.2174481976,99.200610662,90.09989574,96.3887303082,56.046166087
HU,80.6,2.3,2300000,4420296,,98.4400825949,46.9387618725,95.4520420857,98.2808293082,98.5993358816,94.6940229038,96.2100612676
IE,81.6,,,1774693,,97.9973129223,50.2580638307,94.556386297,99.2457761001,96.7488497445,97.9499026072,91.1628699868
IS,95.7,,,129363,,97.6797695674,87.7323670748,93.9626892116,99.5002351963,95.8593039386,99.1757244554,88.7496539678
IT,72.3,2.6,2600000,25378019,9.7607765385,98.8073890702,16.0147748514,90.2104780981,99.3787403648,98.2360377757,94.9313427966,85.4896133995
LT,81.4,,,1270114,,99.4137638897,38.7558916871,98.0714056388,99.412169161,99.4153586185,98.0661593143,98.0766519632
LU,94.4,,,228926,,98.5145789527,94.1190762145,95.2311114744,98.9291475783,98.1000103272,99.1663127622,91.2959101865
LV,91.1,,,763883,,96.4834918477,76.952031642,92.8123544487,99.995,92.9719836953,99.9909758232,85.6337330742
MT,100,,,163641,,99.7,99.9,75.1454905912,99.9,99.5,99.1945723055,51.0964088769
NL,98.3,5.4,5400000,7581039,1.4038961111,99.6027026836,97.9195708453,98.1922773704,99.6027026836,99.6027026836,98.1922773704,98.1922773704
NO,81,1.7,1700000,2583247,1.5195570588,99.5,32.8529874889,97.9431416738,99,100,95.8862833475,100
PL,64.1,4.1,4100000,13577523,3.3115909756,98.5661147711,37.2199483543,93.0861009507,99.5434157206,97.5888138217,97.8005778434,88.371624058
PT,95,2.2,2200000,4081392,1.8551781818,98.7781111812,73.5276198853,91.8837438217,98.7648526147,98.7913697476,91.7956753167,91.9718123268
RO,71.7,4.4,4400000,7481171,1.7002661364,87.5891421276,33.6000290634,74.7487121858,99.9820883656,75.1961958897,99.9571259478,49.5402984238
SE,79.4,2.8,2800000,4587626,1.6384378571,99.9534072743,21.4891139149,99.5727177891,99.9120242147,99.9947903338,99.1917497774,99.9536858009
SI,81.6,,,838961,,97.762768472,50.2482760045,92.032714622,98.1359085822,97.3896283617,93.1246644919,90.940764752
SK,75.5,,,1936196,,90.4986734916,38.4337758376,72.4408231754,90.6946101572,90.3027368261,78.5116727394,66.3699736114
